UserId,WorkerId,Age,Gender,Education,EducationOther,Item,TaskOrder
16aea1860a1-ad44-ff8c-e18a-f9eb,5693,23,vrouw,universiteit,,negation_task,
16adae7120a-8047-3277-b4af-746e,12644,19,vrouw,universiteit,,feature_task,
16ae0eba081-1eaa-3b47-c334-7e9a,12792,19,vrouw,universiteit,,negation_task,
16ae08bae7a-a39a-768f-b881-d380,12876,19,man,universiteit,,negation_task,
16adfec50ad-8c32-71a8-2899-a2df,13403,27,man,HBO,,feature_task,
16adc0f590f-1983-3c29-2c68-7c34,6787,26,vrouw,HBO,,feature_task,
16adb2e1e34-4f1d-164-f1c3-5ff1,6347,24,vrouw,universiteit,master,feature_task,
16adaba0add-2691-dbaa-3be9-beb4,8721,22,vrouw,universiteit,,negation_task,
16adaa7f569-5a1d-6e47-32ef-29d,12102,21,vrouw,HBO,,negation_task,
16ada7e49b7-ce39-67ff-7fe-9052,8474,23,vrouw,universiteit,,feature_task,
16ada1d593e-a13-faa1-a5bf-cd71,11940,24,vrouw,universiteit,,feature_task,
16ad9cad824-83d6-e126-b655-6137,GMMtest2,36,man,universiteit,,negation_task,
16ad9c4d603-6604-f869-a10f-9dfe,GMMtest,36,man,universiteit,,feature_task,
16ac6849103-ff89-ea25-38bb-23ec,GMMtest,36,man,universiteit,,negation_task,
16ac65d47f8-e25d-73f4-8904-e376,235,325,man,basisonderwijs,,negation_task,
16ac4c49436-f14e-cf76-fcec-30a3,TestGMM,36,man,universiteit,,feature_task,
16ac4c0fc9d-34c8-bdc3-10aa-7505,9999999,99,man,basisonderwijs,,,
16ac0f6cdec-9c79-97e0-bcaf-29fe,999999,99999,man,basisonderwijs,9999,negation_task,
